primaryTitle,startYear,runtimeMinutes,genres
Miss Jerry,1894,45,Romance
The Corbett-Fitzsimmons Fight,1897,100,"Documentary,News,Sport"
The Story of the Kelly Gang,1906,70,"Action,Adventure,Biography"
The Prodigal Son,1907,90,Drama
The Fairylogue and Radio-Plays,1908,120,"Adventure,Fantasy"
Locura de amor,1909,45,Drama
Don Juan de Serrallonga,1910,58,"Adventure,Drama"
The Life of Moses,1909,50,"Biography,Drama,Family"
The Battle of Trafalgar,1911,51,War
In the Prime of Life,1911,52,Drama
The Four Devils,1911,60,Drama
"Les Misérables, Part 1: Jean Valjean",1913,60,Drama
Oedipus Rex,1911,56,Drama
Den sorte drøm,1911,53,Drama
Nell Gwynne,1911,50,"Biography,Drama,History"
The Traitress,1911,48,Drama
The Adventures of Lieutenant Petrosino,1912,47,Drama
Anfisa,1912,45,Drama
Anny - Story of a Prostitute,1912,68,"Drama,Romance"
Cleopatra,1912,100,"Drama,History"
Dante's Inferno,1911,71,"Adventure,Drama,Fantasy"
The Great Circus Catastrophe,1912,45,Drama
The Flying Circus,1912,46,Drama
From the Manger to the Cross,1912,60,"Biography,Drama"
Passion,1919,85,"Biography,Drama,Romance"
Paul J. Rainey's African Hunt,1912,60,Documentary
Quincy Adams Sawyer,1912,40,Comedy
Quo Vadis?,1913,120,"Drama,History"
The Independence of Romania,1912,120,"History,War"
The Life and Death of King Richard III,1912,55,Drama
The Black Chancellor,1912,48,Drama
Saved in Mid-Air,1912,60,Drama
What Happened to Mary,1912,150,"Action,Drama,Thriller"
Zigomar contre Nick Carter,1912,48,"Crime,Thriller"
The Adventures of Kathlyn,1913,300,Adventure
Der Andere,1913,48,"Drama,Thriller"
Arizona,1913,45,Western
The Heir to Skjoldborg,1914,50,Drama
Atlantis,1913,121,Drama
The Battle of Gettysburg,1913,48,"Drama,War"
Blodets röst,1913,89,Drama
The Count of Monte Cristo,1913,69,"Drama,History"
East Lynne,1913,69,Drama
What 80 Million Women Want,1913,56,"Crime,Drama,Romance"
Evangeline,1914,50,Drama
Fantômas: In the Shadow of the Guillotine,1913,54,"Crime,Drama"
From Dusk to Dawn,1913,90,Drama
"Germinal; or, The Toll of Labor",1913,150,Drama
Brother Against Brother,1913,51,Drama
Hamlet,1913,64,Drama
Dr. Mawson in the Antarctic,1913,68,Documentary
Hoodman Blind,1913,50,Drama
The Firefly,1913,47,Drama
In the Bishop's Carriage,1913,50,"Crime,Drama"
Ingeborg Holm,1913,96,Drama
Die Insel der Seligen,1913,49,"Comedy,Fantasy"
Ivanhoe,1913,53,"Adventure,Drama,Romance"
Fantomas: The Man in Black,1913,61,"Crime,Drama"
A Lady of Quality,1913,50,Drama
Livets konflikter,1913,64,Drama
Love Everlasting,1914,90,Drama
Macbeth,1913,50,"Crime,Drama"
War Is Hell,1914,50,"Drama,War"
Miraklet,1913,100,Drama
"Les Misérables, Part 2: Fantine",1913,300,Drama
Fantômas: The Dead Man Who Killed,1913,90,"Crime,Drama,Mystery"
"Home, Sweet Home",1914,55,Drama
"The Girl from Abroad; or, The Great Underworld",1913,54,Drama
One Hundred Years of Mormonism,1913,90,"Drama,History"
The Prisoner of Zenda,1913,55,Adventure
På livets ödesvägar,1913,57,Drama
The Rattlesnake,1913,56,Western
A Regiment of Two,1913,57,"Comedy,Drama"
The Life of Richard Wagner,1913,110,"Biography,Drama,History"
The Robbers,1913,56,Drama
The Sea Wolf,1913,70,Drama
Shadows of the Moulin Rouge,1913,60,Drama
The Student of Prague,1913,85,"Drama,Fantasy,Horror"
Traffic in Souls,1913,88,"Crime,Drama"
The Last Days of Pompeii,1913,88,"Adventure,Drama"
Where Is Coletti?,1913,86,"Comedy,Crime"
The Wreck,1913,48,Drama
Across the Pacific,1914,50,"Adventure,Drama,Romance"
The Active Life of Dolly of the Dailies,1914,170,Drama
As Ye Sow,1914,50,Drama
Assunta Spina,1915,72,Drama
The Avenging Conscience: or 'Thou Shalt Not Kill',1914,78,"Crime,Drama,Horror"
The Bargain,1914,70,Western
The Battle of the Sexes,1914,50,Drama
Beating Back,1914,60,"Adventure,Biography,Western"
Behind the Scenes,1914,75,Drama
The Beloved Adventurer,1914,450,Adventure
In the Days of the Thundering Herd,1914,48,Western
Burning Daylight: The Adventures of 'Burning Daylight' in Alaska,1914,50,"Adventure,Drama"
Burning Daylight: The Adventures of 'Burning Daylight' in Civilization,1914,50,Drama
Cabiria,1914,148,"Adventure,Drama,History"
Cameo Kirby,1914,50,"Action,Drama,Romance"
Captain Alvarez,1914,60,Drama
The Chimes,1914,50,"Drama,Fantasy"
The Christian,1914,80,Drama
Cinderella,1914,52,"Drama,Fantasy"
The Circus Man,1914,50,Drama
Damon and Pythias,1914,100,Drama
The Dancer and the King,1914,50,Drama
Dodge City Trail,1936,56,"Drama,Music,Western"
The Dollar Mark,1914,50,Drama
Judge Not,1914,57,Drama
L'enfant de Paris,1913,124,"Crime,Drama"
Engelein,1914,49,Comedy
The Escape,1914,60,Drama
The Exploits of Elaine,1914,220,Action
Fantomas: The Mysterious Finger Print,1914,59,"Crime,Drama"
Fantômas: The False Magistrate,1914,70,"Crime,Drama"
A Florida Enchantment,1914,63,Comedy
The Folly of Revenge,1916,50,Drama
För sin kärleks skull,1914,64,Drama
Gatans barn,1914,54,Drama
A Gentleman from Mississippi,1914,50,Drama
The Ghost Breaker,1914,60,"Adventure,Horror"
Julius Caesar,1914,112,"Drama,History"
The Golem,1914,60,Horror
A Good Little Devil,1914,50,Drama
Half Breed,1913,69,Drama
The Hazards of Helen,1914,1428,Action
Sealed Orders,1914,84,"Drama,Mystery"
"His Majesty, the Scarecrow of Oz",1914,59,"Adventure,Comedy,Family"
The Hound of the Baskervilles (1914),1914,65,"Crime,Horror,Mystery"
Hypocrites,1915,54,"Drama,Fantasy"
In the Land of the Head Hunters,1914,65,"Drama,History"
In the Name of the Prince of Peace,1914,40,"Drama,War"
"Ireland, a Nation",1914,50,"Drama,History"
Jane Eyre,1914,50,Drama
Joseph in the Land of Egypt,1914,52,Drama
Judith of Bethulia,1914,61,Drama
The Last Volunteer,1914,74,"Drama,War"
The Life of General Villa,1914,105,"Action,Adventure,Biography"
Life's Shop Window,1914,50,Drama
The Little Angel of Canyon Creek,1914,50,Western
Lola,1914,50,Drama
Love Never Dies,1916,50,Drama
Lucille Love: The Girl of Mystery,1914,300,Action
The Lure,1914,50,Drama
Man of the Hour,1914,50,Drama
Manon Lescaut,1914,60,"Drama,Romance"
The Marked Woman,1914,50,Drama
Martin Eden,1914,50,Drama
The Master Cracksman,1914,72,"Crime,Drama"
The Master Key,1914,310,"Action,Adventure,Drama"
McVeagh of the South Seas,1914,59,Drama
A Million Bid,1914,50,"Drama,Romance"
Mr. Barnes of New York,1914,60,Drama
Mrs. Wiggs of the Cabbage Patch,1914,50,Drama
My Official Wife,1914,50,Drama
The Mystery of Edwin Drood,1914,50,Mystery
The Naked Truth,1914,60,Drama
Native Life in the Philippines,1914,37,Documentary
Down with Weapons,1914,73,"Drama,War"
Mute Witnesses,1914,65,Drama
Neptune's Daughter,1914,70,Fantasy
Die Pagode,1917,82,"Action,Crime,Drama"
The Painted World,1914,50,Drama
The Patchwork Girl of Oz,1914,81,"Adventure,Comedy,Family"
The Perils of Pauline,1914,199,"Action,Adventure,Drama"
The Pit,1914,50,Drama
The Port of Missing Men,1914,139,Drama
Saints and Sorrows,1914,99,Drama
The Pursuit of the Phantom,1914,50,Drama
The Reign of Terror,1914,109,"Drama,History"
Rose of the Alley,1916,50,"Crime,Drama"
Rose of the Rancho,1914,50,"Action,Adventure,Romance"
Salomy Jane,1914,85,"Crime,Drama,Western"
Samson,1914,60,Drama
The Seats of the Mighty,1914,70,Drama
Ein seltsamer Fall,1914,50,Horror
Shore Acres,1914,50,Drama
The Sign of the Cross,1914,70,Drama
Soldiers of Fortune,1914,60,Drama
The Spoilers,1914,110,"Drama,Western"
Springtime,1914,50,Drama
The Squaw Man,1914,74,"Action,Drama,Romance"
Stormfågeln,1914,64,Drama
Stuart Webbs: Das Panzergewölbe,1914,60,"Action,Crime"
Trapped by the Camera,1914,58,Mystery
Tess of the Storm Country,1914,80,Drama
The Thief,1914,50,Drama
Thirty Leagues Under the Sea,1914,13,Documentary
Tillie's Punctured Romance,1914,82,Comedy
The Undesirable,1915,67,Drama
The Trey o' Hearts,1914,310,Adventure
Trilby,1914,45,Drama
Uncle Tom's Cabin,1914,54,Drama
Uriel Acosta,1914,50,"Biography,Drama,History"
The Virginian,1914,55,Western
The Walls of Jericho,1914,50,Drama
When Broadway Was a Trail,1914,50,"Drama,History"
When Rome Ruled,1914,50,Drama
The Wishing Ring: An Idyll of Old England,1914,54,"Comedy,Drama,Romance"
The Woman in Black,1914,55,"Drama,Romance"
"The World, the Flesh and the Devil",1914,50,"Crime,Drama"
The Wrath of the Gods,1914,56,"Drama,Romance"
Your Girl and Mine: A Woman Suffrage Play,1914,70,Drama
The Absentee,1915,60,"Drama,Romance"
After Dark,1915,50,"Crime,Drama"
After Five,1915,50,"Comedy,Thriller"
Alias Jimmy Valentine,1915,65,"Crime,Drama"
Alice in Wonderland,1915,52,"Adventure,Family,Fantasy"
Aloha Oe,1915,50,Drama
The Alster Case,1915,50,Mystery
Always in the Way,1915,50,Drama
Anna Karenina,1915,50,"Drama,Romance"
The Greater Will,1915,50,Drama
The Arab,1915,50,"Adventure,Drama"
Armstrong's Wife,1915,50,Drama
The Arrival of Perpetua,1915,50,Comedy
At Bay,1915,50,Drama
Barbara Frietchie,1915,50,Drama
The Battle Cry of Peace,1915,90,Drama
Between Men,1915,50,Drama
The Bigger Man,1915,50,Drama
The Birth of a Nation,1915,195,"Drama,History,War"
The Black Box,1915,195,"Drama,Sci-Fi"
Black Fear,1915,50,Drama
Blackbirds,1915,50,Drama
Blindness of Devotion,1915,50,Drama
The Bludgeon,1915,50,Drama
Blue Grass,1915,50,Drama
Body and Soul,1915,50,Drama
Bondwomen,1915,50,Drama
The Boss,1915,50,Drama
A Branded Soul,1917,50,"Drama,Romance"
The Broken Coin,1915,440,"Adventure,Mystery"
The Broken Law,1915,50,Drama
Buckshot John,1915,50,Western
The Builder of Bridges,1915,50,Drama
Business Is Business,1915,60,Drama
A Butterfly on the Wheel,1915,50,Drama
The Butterfly,1915,50,Drama
Camille,1915,50,Drama
The Caprices of Kitty,1915,50,Comedy
Captain Courtesy,1915,50,"Action,Drama,History"
Captivating Mary Carstairs,1915,55,"Comedy,Romance"
The Captive,1915,50,"Drama,Romance,War"
Carmen,1915,59,Drama
Carmen,1915,60,Drama
The Cave Man,1915,50,Comedy
The Celebrated Scandal,1915,50,Drama
The Chalice of Courage,1915,65,"Action,Drama,Romance"
Charley's Aunt,1925,80,Comedy
The Cheat,1915,59,"Drama,Romance"
A Child of the Prairie,1915,63,Western
Children of Eve,1915,73,Drama
Children of the Ghetto,1915,50,Drama
Chimmie Fadden Out West,1915,50,"Comedy,Western"
The Chocolate Soldier,1914,50,"Comedy,Drama"
The Clemenceau Case,1915,60,"Crime,Drama,Romance"
The Clue,1915,50,Drama
The College Orphan,1915,60,"Comedy,Drama"
Colonel Carter of Cartersville,1915,50,"Drama,History"
Colorado,1915,50,"Drama,Western"
The Commuters,1915,50,Comedy
Conscience,1917,60,Drama
Cora,1915,50,Drama
The Cotton King,1915,50,Drama
The Coward,1915,77,"Drama,History,War"
The Cowardly Way,1915,50,Drama
The Cowboy and the Lady,1915,50,Western
Cross Currents,1915,50,Drama
The Crown Prince's Double,1915,50,Drama
The Cub,1915,50,"Comedy,Drama"
The Cup of Life,1915,50,Drama
Dolken,1915,46,Drama
The Darkening Trail,1915,54,Drama
The Daughter of the People,1915,50,Drama
A Daughter of the Sea,1915,50,Drama
David Harum,1915,50,"Comedy,Drama,Romance"
The Dawn of a Tomorrow,1915,50,Drama
The Deep Purple,1915,50,Drama
The Despoiler,1915,60,"Drama,War"
"Destiny: or, the Soul of a Woman",1915,50,Drama
The Destroying Angel,1915,50,Drama
Destruction,1915,50,"Drama,Romance"
The Devil's Daughter,1915,50,Drama
The Disciple,1915,50,Western
Don Quixote,1915,50,Drama
Double Trouble,1915,50,"Comedy,Romance"
Dr. Rameau,1915,50,Drama
The Hound of the Baskervilles,1915,50,"Crime,Horror,Mystery"
The Dust of Egypt,1915,60,Comedy
The Earl of Pawtucket,1915,50,Comedy
The Edge of the Abyss,1915,50,Drama
Emmy of Stork's Nest,1915,50,Drama
An Enemy to Society,1915,50,Drama
The Eternal City,1915,80,Drama
Evidence,1915,50,Drama
Excuse Me,1915,50,Comedy
The Face in the Moonlight,1915,50,"Drama,History"
The Fairy and the Waif,1915,50,Drama
The Family Cupboard,1915,50,Drama
The Family Stain,1915,50,Mystery
"Fanchon, the Cricket",1915,75,Drama
Father and the Boys,1915,50,"Comedy,Drama"
The Fight,1915,60,Drama
The Final Judgment,1915,50,Drama
Fine Feathers,1915,50,Drama
The Fixer,1915,50,Comedy
The Flaming Sword,1915,50,Drama
The Flash of an Emerald,1915,50,Drama
A Fool There Was,1915,67,Drama
Four Feathers,1915,50,Drama
The Frame-Up,1915,50,Drama
From the Valley of the Missing,1915,50,"Adventure,Crime,Drama"
The Galley Slave,1915,50,Drama
Garden of Lies,1915,50,Drama
The Gentleman from Indiana,1915,50,"Adventure,Drama,Romance"
A Gentleman of Leisure,1915,50,Comedy
Ghosts,1915,49,Drama
A Gilded Fool,1915,50,"Comedy,Drama"
The Girl I Left Behind Me,1915,50,Western
The Girl of the Golden West,1915,45,"Romance,Western"
The Goddess,1915,310,"Drama,Romance"
The Golden Chance,1915,74,Drama
The Golden Claw,1915,50,Drama
The Gray Mask,1915,50,"Crime,Drama"
The Great Adventure,1916,60,Comedy
The Great Divide,1915,52,Western
Greater Love Hath No Man,1915,50,Drama
The Heart of Maryland,1915,60,"Drama,History,War"
The Heart of a Painted Woman,1915,50,Drama
The Heart of the Blue Ridge,1915,50,Drama
Heart's Desire,1917,50,Drama
Hearts and the Highway,1915,50,"Drama,History"
Hearts in Exile,1915,59,"Drama,History,Romance"
Hearts of Men,1915,40,Drama
The Heights of Hazard,1915,50,Drama
Her Great Match,1915,50,Drama
Her Mother's Secret,1915,50,Drama
Her Own Way,1915,50,Drama
Her Reckoning,1915,50,Drama
His Turning Point,1915,50,Drama
His Wife,1915,50,Drama
The House of Tears,1915,50,Drama
How Molly Malone Made Good,1915,60,"Adventure,Comedy"
Blind Justice,1916,100,"Crime,Drama,Horror"
The Immigrant,1915,60,Drama
The Impostor,1915,50,Drama
In the Palace of the King,1915,60,"Drama,History"
The Iron Strain,1915,60,"Action,Adventure,Drama"
The Island of Regeneration,1915,60,Drama
The Italian,1915,72,Drama
The Ivory Snuff Box,1915,50,Mystery
Jane,1915,50,Comedy
The Eternal Strife,1915,79,"Biography,Drama,History"
Jeanne Doré,1915,50,Drama
Jewel,1915,50,Drama
Jim the Penman,1915,50,"Crime,Drama"
Jordan Is a Hard Road,1915,50,Drama
Judge Not; or the Woman of Mona Diggings,1915,60,Drama
Judy Forgot,1915,50,Comedy
The Juggernaut,1915,62,Drama
Keep Moving,1915,50,Comedy
Kindling,1915,50,"Crime,Drama"
Kreutzer Sonata,1915,50,"Drama,Romance"
Lady Audley's Secret,1915,50,Drama
The Lamb,1915,56,"Adventure,Comedy,Western"
Langdon's Legacy,1916,50,Drama
Let Katie Do It,1916,50,Drama
Life Without Soul,1915,70,"Drama,Horror,Sci-Fi"
The Lily and the Rose,1915,50,Drama
The Lily of Poverty Flat,1915,50,Western
A Little Brother of the Rich,1915,50,Drama
The Little Dutch Girl,1915,50,Drama
The Little Gypsy,1915,50,Drama
The Little Mademoiselle,1915,60,Drama
The Little Miss Brown,1915,40,Comedy
A London Flat Mystery,1915,50,"Crime,Drama"
The Lone Star Rush,1915,50,"Adventure,Drama"
The Long Chance,1915,60,Western
Love's Pilgrimage to America,1916,50,"Comedy,Drama"
Lydia Gilmore,1915,50,Drama
M'Liss,1915,50,Western
Marvelous Maciste,1915,67,Adventure
Madame Butterfly,1915,61,Drama
Madame de Thebes,1915,68,Drama
The Man Who Couldn't Beat God,1915,50,Drama
The Man Who Found Himself,1915,50,"Crime,Drama"
The Man from Oregon,1915,50,Drama
The Man of Shame,1915,50,"Drama,History"
The Marriage of Kitty,1915,50,Comedy
Marrying Money,1915,50,Comedy
Marse Covington,1915,50,Drama
Martyrs of the Alamo,1915,71,"Drama,History,War"
The Masqueraders,1915,60,Drama
The Master of the House,1915,50,Drama
Life's Whirlpool,1916,50,Drama
Mignon,1915,50,Drama
The Millionaire Baby,1915,60,"Adventure,Drama,Mystery"
The Misleading Lady,1916,50,"Comedy,Drama"
The Missing Links,1916,50,Mystery
The Model,1915,50,Drama
Money,1915,50,Drama
The Money Master,1915,50,Drama
The Moonstone,1915,50,Mystery
Mortmain,1915,50,"Drama,Horror"
A Mother's Confession,1915,50,Drama
Mr. Grex of Monte Carlo,1915,50,Drama
Mrs. Plum's Pudding,1915,50,"Comedy,Western"
My Best Girl,1915,50,"Comedy,Drama"
My Madonna,1915,50,Drama
My Old Dutch,1915,50,Drama
Mysteries of London,1915,49,"Crime,Drama"
Mästertjuven,1915,47,Drama
"The Nature Man: or, the Struggle for Existence",1915,50,Documentary
The Governor,1915,50,Drama
A Night Out,1916,50,Comedy
När konstnärer älska,1915,52,Drama
Old Dutch,1915,50,Comedy
The Old Folks at Home,1916,50,Drama
Old Heidelberg,1915,50,"Drama,Romance"
The Old Homestead,1915,50,"Comedy,Drama"
On the Firing Line with the Germans,1915,90,"Documentary,War"
On the Night Stage,1915,62,"Adventure,Romance,Western"
One Million Dollars,1915,50,Mystery
Over Night,1915,50,Comedy
Peer Gynt,1915,50,Fantasy
Peladilla cochero de punto,1915,100,Comedy
The Penitentes,1915,50,Drama
Pennington's Choice,1915,50,Drama
A Phyllis of the Sierras,1915,50,Drama
Playing Dead,1915,58,Drama
The Plunderer,1915,50,"Action,Adventure,Romance"
The Politicians,1915,50,Comedy
After Death,1915,46,"Drama,Horror"
Pretty Mrs. Smith,1915,50,Comedy
The Pretty Sister of Jose,1915,50,"Drama,Romance"
A Price for Folly,1915,50,Drama
The Price,1915,50,Drama
The Primrose Path,1915,50,Drama
The Prince and the Pauper,1915,50,Adventure
Princess Romanoff,1915,50,"Adventure,Drama,Romance"
Rags,1915,66,Drama
Satan's Rhapsody,1917,55,"Drama,Fantasy,Horror"
The Raven,1915,57,"Biography,Drama"
The Reform Candidate,1915,50,Drama
The Regeneration,1915,72,"Biography,Crime,Drama"
The Right of Way,1915,50,Drama
Rosemary,1915,50,Drama
A Royal Family,1915,50,Drama
The Sable Lorcha,1915,50,"Adventure,Crime,Thriller"
Salvation Nell,1915,60,Drama
Samson,1915,50,"Action,Crime,Drama"
Satan Sanderson,1915,50,"Drama,Romance"
Scandal,1915,50,Drama
Sealed Lips,1915,50,Drama
Sealed Valley,1915,50,Western
The Second in Command,1915,50,Drama
The Secretary of Frivolous Affairs,1915,45,"Drama,Romance"
The Senator,1915,50,Drama
The Seven Sisters,1915,50,"Comedy,Romance"
The Shooting of Dan McGrew,1915,50,Drama
Should a Mother Tell,1915,50,Drama
Should a Wife Forgive?,1915,50,Drama
